task_KEY,update__staff_KEY,project_KEY,project__project_number,project__description,project__priority_KEY,project_template__project_template_id,project_template__project_template_id_sortable,engagement__client_KEY,client__client_id,client__client_id_sortable,client__description,engagement_KEY,completion_order,task_order_description,activity_KEY,activity__activity_id,activity__activity_id_sortable,activity__description,activity__activity_method_KEY,staff_KEY,staff__staff_id,staff__staff_id_sortable,staff__description,tracking_description_KEY,tracking_description__description,budgeted_hours,budgeted_hours_variance,is_over_budgeted_hours,stored_budgeted_amount,calculated_budgeted_amount,target_start_date,target_complete_date,actual_start_date,actual_complete_date,target,completion_event,comments,task_template_KEY,solution_type_name,completion_event_recorded_date_utc,task_number,project_template_KEY,posted_actual_hours,posted_actual_amount,live_actual_hours,live_actual_amount,remaining_hours_adjustment,remaining_hours_adjustment_count,remaining_hours,has_remaining_hours_entries,schedule_item_KEY,ready,assigned_staff_list,assigned_staff_id_list,budgeted_amount_is_calculated,description,budgeted_amount,budgeted_amount_variance,is_over_budgeted_amount
358,61,192,10192,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,5,5: Prepare,39,PREPARE,PREPARE,Preparation,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,0,-14.9,True,0,0,44561,44561,44321,44646,,,,54,Other,44309.82572,353913,1596,14.9,2546,14.9,2546,0,0,-14.9,False,687997,False,"Levy, Leroy",2994LL,True,Prepare,0,-2546,True
359,61,114,10114,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,79,2156OH,2156OH,"Hardin, Olly",999,Completed,10,-3.13,True,1800,1800,42460,42460,42398,42747,,,,17,Creative Solutions Accounting,42338.46047,89937,99,13.13,1968.6,13.13,1968.6,0,0,-3.13,False,179313,False,"Hardin, Olly",2156OH,True,Prepare,1800,-168.6,True
360,61,134,10134,Accounting,999,MAYACCOUNT,MAYACCOUNT,1,38684554500,38684554500                              `,LedgerLogic Accounting,93,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,3,2.25,False,216,216,41445,41445,41447,41578,,,,1,Creative Solutions Accounting,41448.16523,20199,27,0.75,54,0.75,54,0,0,2.25,False,27896,False,"Murphy, Asia",4194AM,True,Prepare,216,162,False
361,61,234,10234,Taxation,999,TAXPLAN,TAXPLAN,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,14,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,0.22,False,38.75,38.75,44561,44561,44573,44594,,,,36,2020 UltraTax CS,44301.34314,347571,208,0.03,4.65,0.03,4.65,0,0,0.22,False,679574,False,"Campos, Ciara",2505CC,True,Other,38.75,34.1,False
362,61,224,10224,Taxation,999,TAXPLAN,TAXPLAN,9,40459066500,40459066500                              `,FreshFinds Marketplace,35,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,-0.25,True,38.75,38.75,44925,44925,44807,44963,,,,36,2021 UltraTax CS,44666.35014,405266,208,0.5,200,0.5,200,0,0,-0.25,False,764616,False,"Campos, Ciara",2505CC,True,Other,38.75,-161.25,True
363,61,236,10236,Taxation,999,TAXPLAN,TAXPLAN,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,3,3: Other,41,OTHER,OTHER,Other Activity,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.25,-0.25,True,81.25,81.25,43098,43098,42979,43139,,,,36,2015 UltraTax CS,42808.4447,147321,208,0.5,162.5,0.5,162.5,0,0,-0.25,False,304382,False,"Cook, Milo",3321MC,True,Other,81.25,-81.25,True
364,61,223,10223,Taxation,999,TAXPLAN,TAXPLAN,9,40459066500,40459066500                              `,FreshFinds Marketplace,35,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,-0.5,True,38.75,38.75,44561,44561,44396,44564,,,,36,2020 UltraTax CS,44301.3811,352320,208,0.75,262.5,0.75,262.5,0,0,-0.5,False,685906,False,"Campos, Ciara",2505CC,True,Other,38.75,-223.75,True
365,61,100,10100,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,79,2156OH,2156OH,"Hardin, Olly",999,Completed,10,2.85,False,2200,2200,44651,44651,44789,44963,,,,17,Creative Solutions Accounting,44469.33399,366437,99,7.15,1322.75,7.15,1322.75,0,0,2.85,False,705240,False,"Hardin, Olly",2156OH,True,Prepare,2200,877.25,False
366,61,112,10112,Data Analysis,999,BV,BV,14,29405385000,29405385000                              `,VistaVogue Outlets,79,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,73,4831LC,4831LC,"Clark, Lucia",999,Completed,2,-4,True,550,550,42999,42999,43025,43139,,,,44,Other,42999.69892,155129,246,6,1650,6,1650,0,0,-4,False,323293,False,"Clark, Lucia",4831LC,True,Review,550,-1100,True
367,61,112,10112,Data Analysis,999,BV,BV,14,29405385000,29405385000                              `,VistaVogue Outlets,79,3,3: Other,41,OTHER,OTHER,Other Activity,1,73,4831LC,4831LC,"Clark, Lucia",999,Completed,0,-0.75,True,0.5,0,42999,42999,43027,43139,,,,45,Other,42999.69892,155130,246,0.75,206.25,0.75,206.25,0,0,-0.75,False,323294,False,"Clark, Lucia",4831LC,False,Other,0.5,-205.75,True
368,61,365,10365,Payroll,999,PAYROLL,PAYROLL,23,25616209500,25616209500                              `,BrightFutures Finance,87,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,117,3683HH,3683HH,"Hess, Helen",999,Completed,0,-0.95,True,0,0,44530,44560,44589,44963,,,,58,Other,44428.89053,363368,1597,0.95,130,0.95,130,0,0,-0.95,False,701171,False,"Hess, Helen",3683HH,True,Prepare,0,-130,True
369,61,265,10265,Taxation,999,1065,1065,16,21747927000,21747927000                              `,ClearCut Calculations,23,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,78,4152DB,4152DB,"Buchanan, Diane",999,Completed,0.5,-2.9,True,97.5,97.5,43906,43906,43857,44211,,,,15,2019 UltraTax CS,43838.71258,257843,59,3.4,888.5,3.4,888.5,0,0,-2.9,False,544173,False,"Buchanan, Diane",4152DB,True,Review,97.5,-791,True
370,61,99,10099,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,79,2156OH,2156OH,"Hardin, Olly",999,Completed,10,8,False,2000,2000,43921,43921,43894,44196,,,,17,Creative Solutions Accounting,43738.33456,236746,99,2,400,2,400,0,0,8,False,480877,False,"Hardin, Olly",2156OH,True,Prepare,2000,1600,False
371,61,255,10255,Taxation,999,1065,1065,4,27956983500,27956983500                              `,WealthWave Advisors,77,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,101,2776SL,2776SL,"Lozano, Sinead",999,Completed,0.5,-0.25,True,120,120,44635,44635,44631,44803,,,,15,2020 UltraTax CS,44500.67616,369280,59,0.75,180,0.75,180,0,0,-0.25,False,709783,False,"Lozano, Sinead",2776SL,True,Review,120,-60,True
372,61,253,10253,Taxation,999,1065,1065,4,27956983500,27956983500                              `,WealthWave Advisors,77,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,101,2776SL,2776SL,"Lozano, Sinead",999,Completed,0.5,-0.25,True,115,115,44270,44270,44235,44575,,,,15,2019 UltraTax CS,44135.34067,282996,59,0.75,116.25,0.75,116.25,0,0,-0.25,False,593034,False,"Lozano, Sinead",2776SL,True,Review,115,-1.25,True
373,61,242,10242,Taxation,999,1065,1065,17,20971824000,20971824000                              `,FarmForward Innovations,24,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,78,4152DB,4152DB,"Buchanan, Diane",999,Completed,0.5,-0.75,True,125,125,44635,44635,44631,44805,,,,15,2020 UltraTax CS,44500.69576,371683,59,1.25,300,1.25,300,0,0,-0.75,False,712987,False,"Buchanan, Diane",4152DB,True,Review,125,-175,True
374,61,3,10003,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,79,2156OH,2156OH,"Hardin, Olly",999,Completed,10,9.37,False,1250,1250,41456,41456,41429,41578,,,,17,Creative Solutions Accounting,41414.90513,17050,99,0.63,101.25,0.63,101.25,0,0,9.37,False,22804,False,"Hardin, Olly",2156OH,True,Prepare,1250,1148.75,False
375,61,225,10225,Taxation,999,TAXPLAN,TAXPLAN,10,32626342500,32626342500                              `,SummitStone Financial,18,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,0.22,False,38.75,38.75,44561,44561,44573,44594,,,,36,2020 UltraTax CS,44301.36946,350877,208,0.03,4.65,0.03,4.65,0,0,0.22,False,683982,False,"Campos, Ciara",2505CC,True,Other,38.75,34.1,False
376,61,268,10268,Taxation,999,1065,1065,14,29405385000,29405385000                              `,VistaVogue Outlets,96,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,0.5,-1.25,True,85,85,44270,44270,44246,44575,,,,15,2019 UltraTax CS,44135.35228,284430,59,1.75,297.5,1.75,297.5,0,0,-1.25,False,594946,False,"Levy, Leroy",2994LL,True,Review,85,-212.5,True
377,61,241,10241,Taxation,999,1065,1065,25,20616853500,20616853500                              `,PeakPinnacle Bank,95,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,0.5,-0.7,True,85,85,44270,44270,44240,44575,,,,15,2020 UltraTax CS,44232.90113,325026,59,1.2,204,1.2,204,0,0,-0.7,False,651744,False,"Levy, Leroy",2994LL,True,Review,85,-119,True
378,61,272,10272,Taxation,999,1065,1065,16,21747927000,21747927000                              `,ClearCut Calculations,23,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,78,4152DB,4152DB,"Buchanan, Diane",999,Completed,0.5,-0.5,True,97.5,97.5,44270,44270,44234,44575,,,,15,2019 UltraTax CS,44135.36541,286050,59,1,300,1,300,0,0,-0.5,False,597106,False,"Buchanan, Diane",4152DB,True,Review,97.5,-202.5,True
379,61,133,10133,Payroll,999,Q4PRW2S,Q4PRW2S,23,25616209500,25616209500                              `,BrightFutures Finance,87,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,63,4463AP,4463AP,"Phelps, Adele",999,Completed,0,-2.16,True,0,0,43861,43861,43855,43872,,,,41,Other,43829.98074,256760,144,2.16,302.4,2.16,302.4,0,0,-2.16,False,542652,False,"Phelps, Adele",4463AP,True,Prepare,0,-302.4,True
380,61,1,10001,Taxation,999,TAXPLAN,TAXPLAN,2,35062011000,35062011000                              `,UnityVault Bank,13,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,0.25,False,38.75,38.75,44561,44561,44463,44564,,,,36,2020 UltraTax CS,44301.34309,347565,208,0,0,0,0,0,0,0.25,False,679566,False,"Campos, Ciara",2505CC,True,Other,38.75,38.75,False
381,61,147,10147,Payroll,999,Q1PRTAX,Q1PRTAX,23,25616209500,25616209500                              `,BrightFutures Finance,87,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,63,4463AP,4463AP,"Phelps, Adele",999,Completed,3,2.5,False,405,405,43585,43585,43586,43654,,,,23,Creative Solutions Accounting,43586.54699,232269,129,0.5,70,0.5,70,0,0,2.5,False,473147,False,"Phelps, Adele",4463AP,True,Prepare,405,335,False
382,61,190,10190,Accounting,999,ACCOUNTING,ACCOUNTING,15,22633971000,22633971000                              `,EcoYield Solutions,85,1,1: Reconcile,52,RECONCILE,RECONCILE,Reconciliation,1,29,3035IA,3035IA,"Ayers, Ismail",999,Completed,5,3.15,False,575,575,44561,44561,44413,44646,,,,53,Creative Solutions Accounting,44309.81759,353883,1596,1.85,188.75,1.85,188.75,0,0,3.15,False,687962,False,"Ayers, Ismail",3035IA,True,Reconcile,575,386.25,False
383,61,146,10146,Payroll,999,Q1PRTAX,Q1PRTAX,14,29405385000,29405385000                              `,VistaVogue Outlets,97,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,96,2027MC,2027MC,"Colon, Malachi",999,Completed,3,2,False,336,420,43220,43220,43200,43221,,,,23,Creative Solutions Accounting,43014.80921,156343,129,1,112,1,112,0,0,2,False,325084,False,"Colon, Malachi",2027MC,True,Prepare,336,224,False
384,61,192,10192,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,7,7: ,,,,,,95,2277AH,2277AH,"Haas, Alexia",999,Completed,0,-0.27,True,0,0,44561,44561,44587,44646,,,,55,Other,44309.82572,353914,1596,0.27,195.5,0.27,195.5,0,0,-0.27,False,687998,False,"Haas, Alexia",2277AH,True,,0,-195.5,True
385,61,194,10194,Accounting,999,ACCOUNTING,ACCOUNTING,23,25616209500,25616209500                              `,BrightFutures Finance,94,7,7: ,,,,,,113,4545LB,4545LB,"Brock, Laurie",999,Completed,0,-2.45,True,0,0,44561,44561,44585,44646,,,,55,Other,44380.03964,360470,1596,2.45,346,2.45,346,0,0,-2.45,False,697173,False,"Brock, Laurie",4545LB,True,,0,-346,True
386,61,190,10190,Accounting,999,ACCOUNTING,ACCOUNTING,15,22633971000,22633971000                              `,EcoYield Solutions,85,7,7: ,,,,,,128,4789CM,4789CM,"Mccarthy, Cara",999,Completed,0,-1,True,0,0,44561,44561,44580,44646,,,,55,Other,44309.81759,353888,1596,1,100,1,100,0,0,-1,False,687967,False,"Mccarthy, Cara",4789CM,True,,0,-100,True
387,61,191,10191,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,14,29405385000,29405385000                              `,VistaVogue Outlets,99,6,6: ,,,,,,113,4545LB,4545LB,"Brock, Laurie",999,Completed,0,-1,True,0,0,44561,44561,44580,44646,,,,50,Other,44309.82572,353904,1571,1,63.75,1,63.75,0,0,-1,False,687987,False,"Brock, Laurie",4545LB,True,,0,-63.75,True
388,61,193,10193,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,26,25984038000,25984038000                              `,FutureFocus Group,101,6,6: ,,,,,,63,4463AP,4463AP,"Phelps, Adele",999,Completed,0,-0.17,True,0,0,44561,44561,44592,44646,,,,50,Other,44313.67218,354272,1571,0.17,22.95,0.17,22.95,0,0,-0.17,False,688457,False,"Phelps, Adele",4463AP,True,,0,-22.95,True
389,106,66,10066,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,13,13: Onboarding,54,ONBOARDING,ONBOARDING,Onboarding,1,106,4464HJ,4464HJ,"Jarvis, Hafsah",997,Started,0,-0.3,True,0,0,44928,44928,44692,,,,,59,Other,44647.13965,395823,1596,0.3,37.5,0.3,37.5,0,0,-0.3,False,753510,False,"Jarvis, Hafsah",4464HJ,False,Onboarding,0,-37.5,True
390,10,57,10057,Accounting,999,ACCOUNTING,ACCOUNTING,11,37285951500,37285951500                              `,TrustTide Banking,65,3,3: Other,41,OTHER,OTHER,Other Activity,1,10,2530GP,2530GP,"Pham, Guy",998,Cancelled,0,-0.9,True,0,0,44196,44196,44236,,,,,7,Other,43841.38209,258498,81,0.9,103.5,0.9,103.5,0,0,-0.9,False,545577,False,"Pham, Guy",2530GP,True,Other,0,-103.5,True
391,87,334,10334,Taxation,999,709,709,10,32626342500,32626342500                              `,SummitStone Financial,18,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,87,2505CC,2505CC,"Campos, Ciara",997,Started,3,2.86,False,0,495,45397,45397,45294,,,,,31,2023 UltraTax CS,45279.87265,483828,139,0.14,23.1,0.14,23.1,0,0,2.86,False,948602,True,"Campos, Ciara",2505CC,True,Prepare,495,471.9,False
392,87,336,10336,Taxation,999,709,709,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,14,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,87,2505CC,2505CC,"Campos, Ciara",997,Started,3,3,False,0,495,45397,45397,45294,,,,,31,2023 UltraTax CS,45279.89853,483867,139,0,0,0,0,0,0,3,False,948610,True,"Campos, Ciara",2505CC,True,Prepare,495,495,False
393,132,66,10066,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,7,7: ,,,,,,95,2277AH,2277AH,"Haas, Alexia",997,Started,0.27,0.12,False,195.5,0,44928,44928,45317,,,,,55,Other,44647.13965,395817,1596,0.15,0,0.15,0,0,0,0.12,False,753504,False,"Haas, Alexia",2277AH,False,,195.5,195.5,False
394,93,61,10061,Payroll,999,VPPAYROLL,VPPAYROLL,25,20616853500,20616853500                              `,PeakPinnacle Bank,89,4,4: Quarterly,53,QUARTERLY,QUARTERLY,Quarterly services,1,117,3683HH,3683HH,"Hess, Helen",998,Cancelled,3.43,3.23,False,508.5,583.1,45261,45292,45013,,,,,52,Other,44958.54079,443161,1572,0.2,28,0.2,28,0,0,3.23,False,835201,False,"Hess, Helen",3683HH,False,Quarterly,508.5,480.5,False
395,61,17,10017,Taxation,999,TAXAMENDTR,TAXAMENDTR,18,23344078500,23344078500                              `,BeaconBridge Banking,9,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,0.25,-3.05,True,62.5,62.5,43906,43906,43894,44959,,,,12,2019 UltraTax CS,43878.99716,267168,57,3.3,825,3.3,825,0,0,-3.05,False,560868,False,"Ward, Jaime",4337JW,True,Review,62.5,-762.5,True
396,61,35,10035,Accounting,999,ACCOUNTING,ACCOUNTING,4,27956983500,27956983500                              `,WealthWave Advisors,92,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,63,4463AP,4463AP,"Phelps, Adele",999,Completed,1,0.92,False,140,140,44196,44196,44582,44609,,,,6,Creative Solutions Accounting,43841.37569,258072,81,0.08,0,0.08,0,0,0,0.92,False,544537,False,"Phelps, Adele",4463AP,True,Review,140,140,False
397,61,35,10035,Accounting,999,ACCOUNTING,ACCOUNTING,4,27956983500,27956983500                              `,WealthWave Advisors,92,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,5,4.15,False,700,700,44196,44196,44117,44609,,,,5,Creative Solutions Accounting,43841.37569,258071,81,0.85,134,0.85,134,0,0,4.15,False,544536,False,"Murphy, Asia",4194AM,True,Prepare,700,566,False
398,61,17,10017,Taxation,999,TAXAMENDTR,TAXAMENDTR,18,23344078500,23344078500                              `,BeaconBridge Banking,9,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,20,4501CH,4501CH,"Harmon, Cecily",999,Completed,1,-3.2,True,100,100,43906,43906,43881,44959,,,,11,2019 UltraTax CS,43878.99716,267167,57,4.2,420,4.2,420,0,0,-3.2,False,560867,False,"Harmon, Cecily",4501CH,True,Prepare,100,-320,True
399,61,325,10325,Taxation,999,1065,1065,4,27956983500,27956983500                              `,WealthWave Advisors,77,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,94,4081OL,4081OL,"Lowe, Otis",999,Completed,3,0,False,420,420,42475,42475,42411,42520,,,,14,2015 UltraTax CS,42369.48042,99201,59,3,420,3,420,0,0,0,False,201203,False,"Lowe, Otis",4081OL,True,Prepare,420,0,False
400,150,340,10340,Taxation,999,1065,1065,5,34283535000,34283535000                              `,HorizonBank Corp,15,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,75,2247RM,2247RM,"Mccoy, Ridwan",997,Started,3,1.1,False,1500,1500,45366,45366,45344,,,,,14,2022 UltraTax CS,45230.34031,465966,59,1.9,290,1.9,290,0,0,1.1,False,894212,True,"Mccoy, Ridwan",2247RM,True,Prepare,1500,1210,False
401,44,360,10360,Taxation,999,1065,1065,17,20971824000,20971824000                              `,FarmForward Innovations,24,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",997,Started,3,-2.95,True,555,555,45000,45000,44953,,,,,14,2021 UltraTax CS,44865.35587,418285,59,5.95,952.25,5.95,952.25,0,0,-2.95,False,783913,True,"Heath, Luis",4380LH,True,Prepare,555,-397.25,True
402,146,346,10346,Taxation,999,1065,1065,16,21747927000,21747927000                              `,ClearCut Calculations,23,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",997,Started,3,-3.25,True,675,675,45366,45366,45322,,,,,14,2022 UltraTax CS,45231.7038,468920,59,6.25,1000,6.25,1000,0,0,-3.25,False,908991,True,"Heath, Luis",4380LH,True,Prepare,675,-325,True
403,87,337,10337,Taxation,999,709,709,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,14,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,87,2505CC,2505CC,"Campos, Ciara",997,Started,3,3,False,0,495,45762,45762,45299,,,,,31,2023 UltraTax CS,45279.89853,483870,139,0,0,0,0,0,0,3,False,948654,True,"Campos, Ciara",2505CC,True,Prepare,495,495,False
404,61,319,10319,Taxation,999,1065F,1065F,23,25616209500,25616209500                              `,BrightFutures Finance,84,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,57,3373NR,3373NR,"Rios, Nate",999,Completed,0.5,-1.1,True,90,90,43892,43892,43847,43893,,,,38,2018 UltraTax CS,43788.93837,243149,237,1.6,247.5,1.6,247.5,0,0,-1.1,False,490341,False,"Rios, Nate",3373NR,True,Review,90,-157.5,True
405,61,319,10319,Taxation,999,1065F,1065F,23,25616209500,25616209500                              `,BrightFutures Finance,84,3,3: Other,41,OTHER,OTHER,Other Activity,1,18,3789KR,3789KR,"Russell, Keenan",999,Completed,0.25,-5.59,True,37.5,37.5,43892,43892,43822,43893,,,,39,2018 UltraTax CS,43788.93837,243150,237,5.84,876,5.84,876,0,0,-5.59,False,490342,False,"Russell, Keenan",3789KR,True,Other,37.5,-838.5,True
406,61,93,10093,Accounting,999,ACCOUNTING,ACCOUNTING,4,27956983500,27956983500                              `,WealthWave Advisors,92,7,7: ,,,,,,126,3984CT,3984CT,"Tanner, Cynthia",997,Started,0,-2.73,True,0,0,44928,44928,44609,,,,,55,Other,44609.73388,390834,1596,2.73,395.75,2.73,395.75,0,0,-2.73,False,747117,False,"Tanner, Cynthia",3984CT,True,,0,-395.75,True
407,61,18,10018,Taxation,999,TAXAMENDTR,TAXAMENDTR,19,26265427500,26265427500                              `,BrightHorizon Enterprises,10,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,0.25,-4.25,True,62.5,62.5,43892,43892,43894,44959,,,,12,2019 UltraTax CS,43880.91066,267234,57,4.5,1125,4.5,1125,0,0,-4.25,False,560978,False,"Ward, Jaime",4337JW,True,Review,62.5,-1062.5,True
408,61,34,10034,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,5,-3.35,True,750,750,43465,43465,43270,43505,,,,5,Creative Solutions Accounting,43111.57597,179251,81,8.35,1197.5,8.35,1197.5,0,0,-3.35,False,375335,False,"Levy, Leroy",2994LL,True,Prepare,750,-447.5,True
409,145,70,10070,Accounting,999,ACCOUNTING,ACCOUNTING,4,27956983500,27956983500                              `,WealthWave Advisors,92,7,7: ,,,,,,126,3984CT,3984CT,"Tanner, Cynthia",997,Started,2.63,0.99,False,250.75,0,45292,45292,45306,,,,,55,Other,44958.52396,442257,1596,1.64,16.25,1.64,16.25,0,0,0.99,False,834070,False,"Tanner, Cynthia",3984CT,False,,250.75,234.5,False
410,61,4,10004,Taxation,999,1120S,1120S,6,30923067000,30923067000                              `,MarketMingle Stores,16,3,3: Other,41,OTHER,OTHER,Other Activity,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.25,-0.05,True,50,65,41897,41897,41716,41758,,,,20,2012 UltraTax CS,41411.97296,11136,106,0.3,60,0.3,60,0,0,-0.05,False,14916,False,"Mccoy, Ridwan",2247RM,True,Other,50,-10,True
411,146,54,10054,Taxation,999,1120S,1120S,19,26265427500,26265427500                              `,BrightHorizon Enterprises,10,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",997,Started,0.25,0.16,False,38.75,38.75,45000,45000,45232,,,,,20,2021 UltraTax CS,44895.61066,425562,106,0.09,14.4,0.09,14.4,0,0,0.16,False,802241,False,"Campos, Ciara",2505CC,True,Other,38.75,24.35,False
412,87,55,10055,Taxation,999,1120S,1120S,18,23344078500,23344078500                              `,BeaconBridge Banking,9,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",997,Started,0.25,-0.25,True,41.25,41.25,45366,45366,45310,,,,,20,2023 UltraTax CS,45260.70595,481374,106,0.5,82.5,0.5,82.5,0,0,-0.25,False,945005,False,"Campos, Ciara",2505CC,True,Other,41.25,-41.25,True
413,40,91,10091,Taxation,999,TAXAMENDTR,TAXAMENDTR,23,25616209500,25616209500                              `,BrightFutures Finance,84,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,40,3692JH,3692JH,"Harrington, John",997,Started,1,0.5,False,0,150,44928,44928,44909,,,,,11,2021 UltraTax CS,44909.77921,432127,57,0.5,75,0.5,75,0,0,0.5,False,817750,True,"Harrington, John",3692JH,True,Prepare,150,75,False
414,61,14,10014,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,2,-0.5,True,550,550,42825,42825,42881,43104,,,,21,Creative Solutions Accounting,42643.33692,118481,99,2.5,475,2.5,475,0,0,-0.5,False,234892,False,"Mccoy, Ridwan",2247RM,True,Review,550,75,False
415,61,25,10025,Payroll,999,VPPAYROLL,VPPAYROLL,14,29405385000,29405385000                              `,VistaVogue Outlets,97,4,4: Quarterly,53,QUARTERLY,QUARTERLY,Quarterly services,1,117,3683HH,3683HH,"Hess, Helen",999,Completed,0,-1.55,True,0,0,44897,44928,44853,45007,,,,52,Other,44734.70282,407290,1572,1.55,263.5,1.55,263.5,0,0,-1.55,False,768071,False,"Hess, Helen",3683HH,True,Quarterly,0,-263.5,True
416,124,63,10063,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,26,25984038000,25984038000                              `,FutureFocus Group,101,1,1: Reconcile,52,RECONCILE,RECONCILE,Reconciliation,1,124,3024BC,3024BC,"Chapman, Beau",997,Started,3.33,2.83,False,447,499.5,45292,45292,45136,,,,,46,Creative Solutions Accounting,44958.3962,436501,1571,0.5,75,0.5,75,0,0,2.83,False,824824,True,"Chapman, Beau",3024BC,False,Reconcile,447,372,False
417,71,63,10063,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,26,25984038000,25984038000                              `,FutureFocus Group,101,4,4: Bookmanange,50,BOOKMANANGE,BOOKMANANGE,Book management,1,71,4193AB,4193AB,"Beasley, Anya",997,Started,0,-0.5,True,0,0,45292,45292,45065,,,,,48,Other,44958.3962,436504,1571,0.5,175,0.5,175,0,0,-0.5,False,824827,False,"Beasley, Anya",4193AB,False,Bookmanange,0,-175,True
